SELECTED_GENE,EVALUATED_GENE,CORRELATION,PVALUE
XPO5,A1BG,0.08937444369905878,0.00578890900434782
XPO5,AACS,0.09207485366603242,0.004465848925865765
XPO5,AADAC,0.08739452149969658,0.006972911009670326
XPO5,AARS1,-0.16701412044909325,2.1856755045368925e-07
XPO5,AARS2,0.21530750199215412,1.9018527347494267e-11
XPO5,AASDHPPT,0.13491831412899724,2.9605844399946292e-05
XPO5,AATF,-0.1715004451424108,1.0145341074982102e-07
XPO5,ABAT,0.08633084397136169,0.007694887703926405
XPO5,ABCA6,-0.13390684658251853,3.3999099573197585e-05
XPO5,ABCB9,-0.09240969202622108,0.004322467803698822
XPO5,ABCC5,-0.09239441565545417,0.004328917476513421
XPO5,ABCC6,0.16328418441591044,4.07404211382163e-07
XPO5,ABCD4,0.10728599682173492,0.0009148588264977946
XPO5,ABCE1,-0.23593614705279853,1.6498692191133183e-13
XPO5,ABHD10,0.10492442951882977,0.001186565710489269
XPO5,ABHD11,0.14308947146201118,9.337255817914533e-06
XPO5,ABHD15,0.1305152923508759,5.368391187012567e-05
XPO5,ABL2,0.09715423829703283,0.0026926415695760456
XPO5,ABR,0.09840861772777426,0.0023678233616889447
XPO5,ACAD9,0.08427629915623333,0.009281277965062385
XPO5,ACADS,0.08466029294574062,0.00896431815324131
XPO5,ACADVL,0.08805012305427269,0.006558771090023402
XPO5,ACAP3,0.10547454486112046,0.0011173345189063179
XPO5,ACBD4,0.11323072360641716,0.0004646478412646847
XPO5,ACBD6,0.115950007912163,0.0003371078719341214
XPO5,ACD,0.10318575728994989,0.0014322330858961725
XPO5,ACLY,0.11467219641798919,0.00039230765973291505
XPO5,ACO1,-0.08599003577270228,0.007939971888582954
XPO5,ACO2,0.10311257874330931,0.0014435332537244664
XPO5,ACOT12,-0.127389534746479,8.099243675548833e-05
XPO5,ACOT13,0.11341615932839533,0.00045469087960735614
XPO5,ACOT8,0.08488903938654153,0.00878012475450655
XPO5,ACP1,0.09113744585181684,0.004890427474134329
XPO5,ACP3,-0.12541960286055642,0.0001044544185890494
XPO5,ACP6,0.10153974379926282,0.0017071377453182304
XPO5,ACR,0.10962626595919397,0.0007034369164144121
XPO5,ACSL1,0.1449906736325793,7.072640561677304e-06
XPO5,ACSL4,0.09468569473217604,0.0034532815947866864
XPO5,ACSM4,-0.08359905534521422,0.009864698913951567
XPO5,ACTG1,0.08683218971520522,0.007346653768373231
XPO5,ACTR2,0.15078235671214502,2.9691510622089033e-06
XPO5,ACTR6,0.1706425004512393,1.1767658820390069e-07
XPO5,ACTRT2,-0.1382382040695064,1.86698548438849e-05
XPO5,ACTRT3,0.08934722298058967,0.005803876810755359
XPO5,ACVR1B,-0.13062924655929836,5.28757420128326e-05
XPO5,ACVR1C,-0.09044639792340055,0.005226409939213738
XPO5,ADA,-0.11288657052049161,0.0004836674511627545
XPO5,ADAD1,-0.10210217555047718,0.0016081784488470505
XPO5,ADAM11,-0.08829047678607586,0.006412563375371092
XPO5,ADAM30,-0.1636155639204693,3.856945188157296e-07
XPO5,ADAM32,-0.1192120874615054,0.0002273145908898718
XPO5,ADAMTS1,0.09751108499900392,0.002596328031404944
XPO5,ADAMTS10,0.13021518651383904,5.5868555735209866e-05
XPO5,ADAMTS7,0.11114324432806441,0.0005916532401480327
XPO5,ADAP2,0.09574173145841006,0.0031067133722112133
XPO5,ADAT2,0.29740124359255155,6.781744408098842e-21
XPO5,ADAT3,0.1259203664330033,9.794756757531749e-05
XPO5,ADCK1,-0.10917618083223714,0.0007401945261616963
XPO5,ADCY9,0.13321116824788284,3.7372231623032055e-05
XPO5,ADH5,-0.10716518072068576,0.0009272272660900634
XPO5,ADH6,-0.0875785809539437,0.006854336496079662
XPO5,ADM5,0.13322171772669925,3.731879086616485e-05
XPO5,ADNP,0.12743040177136072,8.056297462834359e-05
XPO5,ADORA2B,0.08396163108476212,0.009548417329316597
XPO5,ADPGK,0.10682946633928973,0.0009624124701008908
XPO5,ADPRS,0.10944702697816346,0.0007178672589774977
XPO5,ADRA1B,0.1386212436689307,1.7690538904738547e-05
XPO5,ADRB3,-0.0866390759639245,0.007479083054553066
XPO5,ADSL,0.1786583080285747,2.8586618585366176e-08
XPO5,AFF4,0.09959983351502326,0.002092928390380529
XPO5,AFG3L2,-0.10023511694405597,0.0019585815148535704
XPO5,AGA,0.11187152786962816,0.000544069842247645
XPO5,AGAP2,-0.10123911271821723,0.0017622979336203212
XPO5,AGAP5,-0.1315717707829865,4.6618943719933376e-05
